"comid","logRT_lateral_hz_s_fill"
23099408,7.84416922407431
23099410,5.61407852172852
23099412,7.93576599335956
23099414,4.6256287325843
23099416,8.49880660693537
23099418,1.34757860419654
23099420,8.49880660693537
23099422,2.07532627278469
23099424,7.29798976040146
23099426,6.43025171419591
23099428,6.40786806101117
23099430,7.45298742787637
23099432,7.04723315806696
23099434,6.90933639620103
23099436,7.55502949507714
23099438,8.28882500128723
23099440,8.49880660693537
23099442,5.41441774368286
23099444,6.66192836701384
23099446,7.76103905950128
23099448,8.20548427449241
23099450,8.46793684341174
23099452,7.9622561816018
23099454,8.17304545576505
23099456,7.46988830734451
23099458,7.00380474495603
23099460,6.57138189060966
23099462,5.14068201581761
23099464,4.11988368385827
23099466,4.86431407928467
23099468,8.08794407665995
23099470,8.32615088969695
23099472,8.29247957446355
23099474,8.49880660693537
23099484,8.49880660693537
23099486,8.49087715887688
23099488,7.90594843638242
23099492,7.73491892382513
23099494,7.2452717167075
23099496,6.23574630313126
23099498,6.83172794809129
23099500,6.82726562131848
23099502,6.78492734310045
23099504,6.42639833258519
23099506,6.48777660182923
23099508,3.95062041282654
23099510,6.52692483486528
23099512,5.49392723168662
23099514,5.56935625552806
23099516,6.41986449659001
23099518,6.07693314914167
23099520,5.52587088959242
23099522,5.73558028972371
23099524,6.9104040759494
23099526,6.58353365377507
23099528,6.38338571948101
23099530,6.36206845463564
23099532,5.30591255535723
23099534,5.90564838280163
23099536,5.35257625579834
23099538,6.13491261734275
23099540,5.17832248875984
23099542,5.87219619248733
23099544,6.00266800474798
23099546,5.52944249118946
23099548,7.40693084175429
23099550,7.75516979553717
23099552,7.62312269210815
23099554,7.72585859789114
23099558,8.30079649619623
23099560,7.58655896512337
23099562,7.78970934323684
23099564,7.4601446589996
23099566,7.53805421193424
23099568,7.17509035520742
23099570,6.57396873603644
23099572,6.09941339492798
23099576,6.57913541793823
23099578,5.47757594662214
23099580,4.79871034622192
23099582,5.17006635665894
23099584,3.58160148113984
23099586,-0.140735721518393
23099588,6.11411442908144
23099590,4.23972320556641
23099594,6.77424846017626
23099596,5.91496515274048
23099598,6.48935686196327
23099600,6.34230572240312
23099602,6.07155917426925
23099606,-1.38558668041045
23099608,6.16211149114469
