"comid","logq_hz_lateral_m_div_s_fill"
23099408,-8.9096565246582
23099410,-7.7204966545105
23099412,-7.45320701599121
23099414,-8.04544639587402
23099416,-8.03140544891357
23099418,-8.33181953430176
23099420,-9.04575749056067
23099422,-8.90010356903076
23099424,-9.16346740722656
23099426,-7.30016227413275
23099428,-6.43794517034362
23099430,-7.66554624884907
23099432,-6.8523236757589
23099434,-7.95467702121334
23099436,-6.77314242971128
23099438,-7.32148162095989
23099440,-8.53760200210104
23099442,-7.0713267326355
23099444,-6.19443118245144
23099446,-7.80410034759077
23099448,-8.79588001734407
23099450,-7.50584540598156
23099452,-8.48148606012211
23099454,-8.02227639471115
23099456,-6.98380264648756
23099458,-7.97061622231479
23099460,-6.416234631715
23099462,-6.92335955632966
23099464,-9.85688400268555
23099466,-7.18244123458862
23099468,-8.43179827593301
23099470,-8.35654732351381
23099472,-8.21467016498923
23099474,-8.79588001734407
23099484,-9.69897000433602
23099486,-8.65757731917779
23099488,-8.05551732784983
23099492,-8.35654732351381
23099494,-8.06048074738138
23099496,-7.47108329972234
23099498,-7.78781239559604
23099500,-7.86327943284359
23099502,-7.87614835903291
23099504,-7.43533393574791
23099506,-7.38195190328791
23099508,-6.11676740646362
23099510,-7.38933983691012
23099512,-6.53955321611928
23099514,-7.17392519729917
23099516,-7.30715308072277
23099518,-7.30277065724028
23099520,-6.58753945257004
23099522,-6.79263496253093
23099524,-7.45469288353418
23099526,-7.77728352885242
23099528,-7.57186520597121
23099530,-7.25414480482627
23099532,-7.02227639471115
23099534,-7.30102999566398
23099536,-7.9044623374939
23099538,-7.29073003902417
23099540,-6.48439105076552
23099542,-7.21253952548158
23099544,-7.60554831917378
23099546,-6.94005811193805
23099548,-8.04095860767891
23099550,-8.14266750356873
23099552,-8.01808547973633
23099554,-7.55129368009492
23099558,-8.61978875828839
23099560,-7.92445303860747
23099562,-7.73992861201492
23099564,-7.19314197048118
23099566,-7.24412514432751
23099568,-7.99139982823808
23099570,-6.48004081924793
23099572,-7.30623388290405
23099576,-7.64257574081421
23099578,-5.51392390262741
23099580,-5.93393611907959
23099582,-7.0541467666626
23099584,-5.8725905418396
23099586,-6.51626920700073
23099588,-6.50073909759521
23099590,-6.95556020736694
23099594,-6.5151309672796
23099596,-7.61788845062256
23099598,-6.55470723057403
23099600,-7.66354026615147
23099602,-5.85798616701564
23099606,-9.46316337585449
23099608,-5.54933527674785
23099610,-7.06651271215129
23099612,-8.3607177734375
23099614,-8.09691001300806
23099616,-8.03151705144606
23099618,-7.90657831483777
23099620,-8.4089353929735
23099622,-7.07935499859321
23099624,-8.0268721464003
23099626,-8.44369749923271
23099628,-8
