"comid","do_stream_mg_l","doc_stream_mg_l","no3_stream_mg_l"
23099408,10.85997453,2.81619559,0.427775176082012
23099410,10.859974,2.364828576,0.427775189803742
23099412,10.86330549,2.80671837,0.424409401288554
23099414,10.86329948,2.80671837,0.42440984562312
23099416,10.86329778,2.80671837,0.424409113714358
23099418,10.86329778,2.27870177,0.424409114047006
23099420,10.86329643,2.325392027,0.424408403427716
23099422,10.86324368,2.282670914,0.42436517806549
23099424,10.86324045,2.256262074,0.424363728718154
23099426,10.86319567,2.242631455,0.424341161378862
23099428,10.86313273,2.319088667,0.42429019047428
23099430,10.86312851,2.35605652,0.424287857530694
23099432,11.47748392,2.278105705,0.424284905695504
23099434,10.86298061,2.21594555,0.424037247097292
23099436,10.86297737,2.269851452,0.42403626736577
23099438,10.86284343,2.277690731,0.42249364137247
23099440,10.86763531,2.282986328,0.42231709509943
23099442,10.86763252,2.27022572,0.422306107902314
23099444,10.86763216,2.297433264,0.422305311210354
23099446,10.86763072,2.25221065,0.422304503707334
23099448,10.86752325,2.803853898,0.42209043873167
23099450,10.86752271,2.250488661,0.422089036454026
23099452,10.86750622,2.269008207,0.422053949824092
23099454,10.86749405,2.251946235,0.422012596854296
23099456,10.86748171,2.285532807,0.421986969486052
23099458,10.86744339,2.281281499,0.421867464527784
23099460,10.86726357,2.201978157,0.420773279141072
23099462,10.86694331,2.208258641,0.420677752365426
23099464,10.86693381,2.209071915,0.420676948438372
23099466,10.01572018,1.652128669,1.0672388671475
23099468,10.01571861,1.048506653,1.06724576626702
23099470,10.00368766,1.052516942,1.07899517920533
23099472,10.02088633,1.067152,1.09536111144177
23099474,10.01992794,1.072180648,1.10762456591661
23099484,10.11694963,1.139731268,1.31538079383884
23099486,10.14950917,1.202159022,1.35285017316381
23099488,9.998398919,1.243082129,1.45906000502779
23099492,10.37892713,1.211885217,1.64252881559118
23099494,10.43110822,1.133042615,1.73978531318535
23099496,10.43974446,1.060434273,1.74640573871403
23099498,10.42406241,0.879394518,1.65794138988648
23099500,10.44545234,0.836073967,1.68205479275622
23099502,10.53448544,0.781818182,1.73896797043751
23099504,10.50618678,0.781818182,1.7451076208929
23099506,10.51130765,0.781818182,1.67753270257849
23099508,10.53308114,0.781818182,1.61105194378742
23099510,10.51342255,0.781818182,1.59375828463722
23099512,10.48489661,0.781818182,1.50719490162177
23099514,10.49185916,0.781818182,1.48636463405234
23099516,10.50383334,0.781818182,1.41752881573931
23099518,10.47550532,0.781818182,1.36996173481114
23099520,10.50137731,0.781818182,1.35074926078879
23099522,10.47617301,0.781818182,1.35055040298277
23099524,10.46276761,0.781818182,1.35692633406102
23099526,10.44359654,0.781818182,1.36766625495768
23099528,10.46003065,0.781818182,1.3774801012032
23099530,10.4619844,0.781818182,1.3843362789434
23099532,10.53799528,0.781818182,1.40380549027634
23099534,10.51981508,0.781818182,1.40942533656756
23099536,10.55514652,0.781818182,1.41729698553088
23099538,10.48454415,0.781818182,1.42669558636322
23099540,10.44787377,0.781818182,1.46946145666761
23099542,10.45760085,0.781818182,1.46014913433122
23099544,10.57511594,0.781818182,1.49189949144075
23099546,10.42079847,0.781818182,1.50156737798102
23099548,10.90190373,2.285882307,0.41989223671293
23099550,10.90176561,2.270822451,0.419764381541404
23099552,10.90176119,2.27686553,0.41976411484087
23099554,10.90175369,2.270204386,0.419763426924806
23099558,10.90158635,2.278629611,0.41974498300696
23099560,10.9015746,2.281096176,0.419743785390998
23099562,10.90154908,2.307547584,0.419740745404088
23099564,10.90151122,2.296379653,0.419734433408288
23099566,10.90137116,2.31513286,0.41960131690967
23099568,10.9013511,2.325138459,0.419585129343208
23099570,10.90126919,2.294697991,0.419359265259822
23099572,10.90120065,2.411638268,0.419274202425988
23099576,10.9002987,2.329443191,0.445713797208426
23099578,10.90028859,2.306543564,0.445705222291444
23099580,10.90022034,2.39691793,0.445568795196768
23099582,10.90018182,2.344344378,0.445411283458098
23099584,10.90018172,2.302052432,0.445411260754872
23099586,10.90017851,2.298546769,0.445409460297572
23099588,10.90017326,2.306578163,0.445402643258946
23099590,10.90017209,2.298236286,0.445402209153306
23099594,10.89904021,2.287299957,0.44359505373634
23099596,10.89902942,2.26555043,0.443590126886812
23099598,10.89900126,2.263290218,0.443580497392508
23099600,10.89896691,2.280107725,0.443570682114296
23099602,10.89892578,2.297012356,0.589325091488884
23099606,10.89866367,2.320602445,0.587718685314466
23099608,10.89866141,2.284117755,0.587716685185204
23099610,9.771714514,2.66790943,2.21308732017509
23099612,9.771403464,3.0472187,2.21567786055095
23099614,9.771355548,2.551758066,2.216791772962
23099616,10.58619434,2.590410314,2.26756621156027
