"comid","logRT_vertical_hz_s_fill"
23099408,6.50992774999413
23099410,4.01213973304517
23099412,6.50852430686147
23099414,6.50778143223953
23099416,6.51017938661774
23099418,6.50621515688801
23099420,6.07493566900937
23099422,6.50754421329199
23099424,6.03528599641177
23099426,4.92283741804861
23099428,4.81458407167071
23099430,5.60063573095532
23099432,5.20265292021516
23099434,5.23258980172
23099436,5.5967472260116
23099438,6.24867082898018
23099440,6.65609660981744
23099442,4.27127328581586
23099444,4.99518120490406
23099446,5.9118797092225
23099448,6.31262618564525
23099450,6.40461453483513
23099452,6.09552892328451
23099454,6.20877272270023
23099456,5.54344888643635
23099458,5.45322935720228
23099460,4.93372152266105
23099462,3.93263150652807
23099464,6.44460900587878
23099466,4.94811538975196
23099468,6.93651374247889
23099470,6.93651374247889
23099472,6.93651374247889
23099474,6.93651374247889
23099484,6.93651374247889
23099486,6.93651374247889
23099488,6.93651374247889
23099492,6.93651374247889
23099494,6.76757446405178
23099496,5.9073909292128
23099498,6.42199094480399
23099500,6.43048102371829
23099502,6.4074246699665
23099504,6.0666309983091
23099506,6.10746998900545
23099508,3.4207081922674
23099510,6.13741734735602
23099512,5.22326666071205
23099514,5.35046181518341
23099516,6.03481270339164
23099518,5.76319994258165
23099520,5.25422871091714
23099522,5.44087034249212
23099524,6.47071039041003
23099526,6.23016258141338
23099528,6.05215843283545
23099530,6.00931219072231
23099532,5.14759227140834
23099534,5.65449018842995
23099536,5.94110202789307
23099538,5.84422478898527
23099540,5.0130156380547
23099542,5.64136131572469
23099544,5.79451262241012
23099546,5.42527580773617
23099548,5.61612316680822
23099550,5.86967869832974
23099552,4.01433144491721
23099554,5.77896039923818
23099558,6.34954125841139
23099560,5.70501108005012
23099562,5.83389605053771
23099564,5.54333954055091
23099566,5.59833940388817
23099568,5.43565415822834
23099570,4.90939761851045
23099572,4.75612135282566
23099576,4.01793955898936
23099578,3.9719339538325
23099580,4.01843082457558
23099582,6.51694986968668
23099584,6.51289759611074
23099586,6.51334953904005
23099588,6.51581256923944
23099590,4.01977376532826
23099594,4.9510877668493
23099596,5.06519490975495
23099598,4.85050697304171
23099600,4.8835605068759
23099602,4.50955660909382
23099606,6.51810263522066
23099608,4.56816433831423
23099610,5.7522846991019
23099612,6.0130754363352
23099614,6.58914074291743
23099616,6.93651374247889
23099618,6.93651374247889
23099620,6.93651374247889
23099622,6.19195418372984
23099624,6.62009458529897
23099626,6.56425435673827
23099628,6.43275692324399
23099630,6.24249573772668
23099632,6.27964120543235
23099634,5.86044495714913
23099636,6.15424065433951
23099638,6.02070276347323
23099640,5.99827137101405
23099642,6.20828361645872
23099644,6.14950889132617
23099646,5.85285462738912
23099648,6.05767070072674
23099650,6.02469594207656
23099652,5.86031093683303
23099654,5.99111413955688
23099656,4.67518712813302
23099658,3.66488787433894
23099660,3.42773317135625
23099662,5.55254351215716
23099664,6.06780433551589
23099666,4.02101280495637
23099668,4.01488431135859
23099670,4.01588755259697
23099672,4.01428145304601
23099674,4.01353502971978
23099676,4.6637701216796
23099678,6.33435314367964
23099680,5.34681601475982
23099682,4.0199043908106
23099684,6.50620989948007
23099686,4.01814929061459
23099688,6.47090993296424
23099690,4.01790326995499
23099692,6.50936377539342
23099694,6.22668995177499
23099696,6.85653562971206
23099698,6.30344052310422
23099700,6.50853942108192
23099702,6.31900560901206
23099704,6.4178930128712
23099706,5.96280527114868
23099708,4.02003338916181
