"comid","logq_hz_vertical_m_div_s_fill"
23099408,-6.28819277095881
23099410,-6.37181549192659
23099412,-6.29208933428689
23099414,-6.2929410593724
23099416,-6.28634148379164
23099418,-6.29645070176177
23099420,-5.79069950484029
23099422,-6.29722492209896
23099424,-5.77106095754346
23099426,-4.40892425736032
23099428,-4.29761082690342
23099430,-5.16001316462083
23099432,-4.75586643044127
23099434,-4.78631227720375
23099436,-5.15557874559893
23099438,-5.81638855078157
23099440,-6.20565139610392
23099442,-3.75520698158302
23099444,-4.47803336167781
23099446,-5.49262994655595
23099448,-5.86598235432402
23099450,-5.96225487073041
23099452,-5.65809087982023
23099454,-5.76970438608295
23099456,-5.10191137256531
23099458,-5.05204210799891
23099460,-4.41782637212201
23099462,-3.41751652969136
23099464,-6.24848994972996
23099466,-4.82082752040769
23099468,-7.13489602535887
23099470,-7.33535802444387
23099472,-7.29929628285498
23099474,-7.55909091793478
23099484,-7.79860287567955
23099486,-7.61083391563547
23099488,-7.35556141053216
23099492,-7.35951856302958
23099494,-7.00700490156866
23099496,-6.17076057185861
23099498,-6.70575428386188
23099500,-6.72033305595154
23099502,-6.73683753503778
23099504,-6.41150419899279
23099506,-6.4565528199183
23099508,-3.83109090840891
23099510,-6.50334706074908
23099512,-5.62243878508221
23099514,-5.74838611045641
23099516,-6.4279420100737
23099518,-6.19334527600814
23099520,-5.71112505416472
23099522,-5.90159857772992
23099524,-6.93666664104825
23099526,-6.71715139716536
23099528,-6.55736347421777
23099530,-6.529883646849
23099532,-5.72468864545819
23099534,-6.23425695857896
23099536,-7.12615585327148
23099538,-6.46610089920341
23099540,-5.75783141002633
23099542,-6.39588199380796
23099544,-6.72422809983507
23099546,-6.6014467731935
23099548,-5.18112776601516
23099550,-5.43244432910522
23099552,-6.31749391406099
23099554,-5.34083519933727
23099558,-5.9026038493585
23099560,-5.26448094118483
23099562,-5.39345741686543
23099564,-5.1039259486214
23099566,-5.15726598105173
23099568,-4.9975099587567
